x_off_cm,y_off_cm
-4.898,-4.191
-1.967,3.598
-3.904,-1.489
-3.006,-2.513
3.092,4.536
2.014,-1.491
-4.105,3.153
-0.295,3.566
-2.339,4.841
-1.206,-2.886
-0.060,4.305
4.286,3.060
-2.654,-3.931
-4.283,-4.555
-3.111,4.344
-2.698,-2.740
-0.127,-2.945
0.531,2.544
4.464,1.617
-4.702,-1.404
-3.135,-4.653
3.484,-4.690
-0.420,4.375
-3.561,1.488
0.736,0.548
1.680,-0.576
-0.076,-2.509
1.760,-1.952
-2.369,3.754
-1.722,4.131
-1.882,-3.766
2.530,-1.002
2.879,1.755
0.270,-4.634
-1.474,3.856
3.883,-0.219
0.353,2.883
3.547,0.008
1.729,3.341
0.961,3.850
-2.973,-0.238
4.576,-4.988
3.354,0.163
2.045,-4.582
-0.180,-1.295
-2.237,3.294
2.717,2.679
0.424,2.004
-3.074,0.617
2.135,-2.642
-0.133,-0.026
3.432,-2.766
-0.240,4.281
-2.305,-1.249
-3.815,3.841
1.239,1.638
4.602,-3.982
-3.438,-3.623
-1.281,-1.793
-0.659,-1.174
-4.384,0.892
-2.383,-2.149
-2.301,-4.865
-3.688,-3.306
-3.579,0.889
-0.686,-2.492
-3.851,4.496
4.903,-3.301
2.475,3.420
4.152,-1.766
3.671,-3.704
-0.931,-3.376
1.805,-3.458
-0.733,4.206
-0.945,4.738
2.160,-0.316
-3.436,3.118
2.323,0.574
-1.526,-0.617
-0.279,-0.821
-4.829,4.358
-4.513,0.132
-3.524,1.395
3.568,-2.288
2.653,-1.534
0.490,2.428
-1.378,-3.188
-4.950,-2.122
2.367,-3.997
-3.747,-1.505
-0.719,-3.744
2.850,-0.066
-3.399,0.593
-4.330,-1.726
0.828,-2.038
0.230,3.790
3.325,-4.072
-3.230,-1.825
-0.888,4.085
1.356,0.977
4.248,-1.090
-1.670,0.364
-4.727,-2.776
-4.778,-4.221
-4.250,0.378
-0.975,0.475
-4.972,-0.363
3.129,1.204
0.410,-0.287
4.312,2.258
0.934,-0.088
4.922,-3.415
-1.169,-2.070
0.711,2.297
1.114,0.769
-2.510,-0.536
4.473,3.822
0.699,2.359
2.233,-3.924
4.407,-3.369
0.420,4.649
1.170,-1.459
2.560,0.645
-3.363,-2.620
0.362,3.052
-4.277,1.737
4.803,-2.779
2.106,-2.443
-3.717,4.926
-0.350,-2.285
-3.434,4.286
-0.359,-4.788
-4.959,3.631
-3.191,-1.952
-3.811,-0.300
2.566,-1.687
-4.481,1.361
1.711,-4.828
0.721,3.243
4.068,3.925
2.542,0.335
1.644,-0.499
-4.362,-2.357
4.043,-0.336
1.796,2.901
-2.818,2.699
-0.298,0.554
-2.571,-2.589
-2.915,-1.447
-3.501,-3.875
2.703,3.908
2.897,-2.447
0.695,0.065
1.919,4.511
-1.628,-4.440
-0.765,0.986
-4.498,-2.732
3.873,-4.353
0.541,-1.280
-3.390,4.985
-1.272,1.949
-4.510,-4.969
0.021,-4.228
-4.805,4.533
0.175,1.284
-2.895,-1.639
-2.327,-3.584
3.121,-1.586
2.461,2.616
-2.603,2.380
0.951,-3.777
3.641,2.674
4.720,-3.785
-1.678,0.462
2.601,3.958
-2.111,-0.522
3.739,-0.511
-4.363,-2.570
4.356,-2.475
1.799,2.540
-3.285,-3.625
1.906,-2.827
-3.179,-0.310
-3.343,-4.122
-2.558,0.195
-4.867,-4.782
-2.367,2.725
-4.913,0.629
0.980,4.623
3.475,-2.035
2.496,1.724
4.122,2.991
2.421,0.421
0.668,0.524
4.470,4.163
-3.062,-3.521
3.031,3.587
-0.735,2.062
-3.615,-3.903
-2.683,3.819
1.822,-4.919
4.881,-2.974
-1.375,3.622
1.593,-0.023
0.598,0.657
2.018,-4.998
-0.093,-0.982
-0.091,-2.144
-1.516,1.075
-1.708,0.414
-4.289,-2.246
-2.966,4.878
-3.296,3.318
-1.696,-0.049
1.459,2.212
-3.070,-0.752
-0.524,2.329
4.254,0.688
4.415,2.343
-0.134,2.521
-1.039,4.547
-4.849,0.295
-2.431,3.020
1.608,4.096
4.663,-3.878
-1.686,-3.046
1.048,-2.999
3.704,-4.815
0.731,-0.535
-0.984,-0.660
-1.303,-4.818
4.173,3.608
-0.578,4.897
-3.399,-4.597
-2.186,1.038
-4.641,0.346
-4.343,3.134
-4.118,-1.637
-2.156,-4.682
-2.085,-1.544
-1.998,0.918
-0.002,0.965
0.386,4.637
3.202,3.042
1.038,3.928
-2.735,-0.971
0.437,2.256
1.584,2.772
-4.151,-0.568
2.372,-4.720
2.142,0.458
-4.110,1.694
4.205,3.979
1.915,-3.638
2.664,-2.783
-1.591,2.971
-0.090,0.564
-1.639,-0.069
-4.723,0.544
1.248,2.214
4.072,0.514
1.468,-1.048
2.718,-0.196
4.925,2.390
-1.536,-3.049
-2.013,0.029
4.756,-4.437
-0.246,-0.711
2.798,0.619
-3.285,4.260
-2.268,2.201
-0.909,0.479
-0.206,-4.155
4.683,-0.577
-0.039,4.789
-4.951,-3.740
-2.484,2.067
-2.916,2.556
-3.290,4.100
4.621,3.033
-2.971,1.485
-1.559,-1.385
-0.493,-0.503
-3.992,1.679
-2.749,-3.807
-2.892,2.466
-3.328,-4.324
-3.096,0.376
2.719,-1.989
1.505,-1.686
-0.130,1.642
3.083,-1.971
-3.291,-4.643
0.997,2.604
0.510,-1.767
-1.166,4.365
4.198,-2.566
2.252,-0.575
3.785,-0.069
-3.033,-1.066
-3.192,-1.694
-0.857,2.840
1.638,-3.169
1.970,-1.287
-3.913,2.071
2.451,2.522
2.920,-2.298
-0.098,2.489
-1.759,0.138
-2.025,-1.886
-1.336,-4.390
-4.616,2.084
-2.635,-3.311
0.345,-0.280
-4.243,-4.750
1.214,1.721
2.353,2.779
-2.872,-2.981
1.754,-2.661
-2.651,-3.834
-4.083,1.991
3.877,2.318
4.707,-4.697
2.356,2.311
2.784,-0.142
4.680,-2.463
-1.788,-4.667
-4.628,2.689
-4.428,-1.966
-0.090,-2.113
-3.480,-4.241
-1.465,0.839
2.062,0.095
-3.738,-4.767
1.582,3.476
-1.767,4.037
-0.922,2.768
4.804,-3.208
2.720,-1.745
-2.585,-0.256
-2.985,1.949
-0.746,-1.239
-4.120,-4.103
-3.647,1.955
-0.796,-1.968
-2.780,-1.181
1.125,-0.047
2.873,-1.496
4.949,1.440
4.579,0.150
2.161,1.819
-4.043,-4.760
-3.808,0.561
-2.414,2.354
-1.789,3.220
0.390,-0.149
-1.660,-4.616
4.314,-3.852
-2.426,4.120
2.681,0.066
2.671,4.867
0.101,-2.517
4.632,-1.945
-1.571,1.593
-2.297,-1.311
0.963,0.539
-3.314,-4.774
1.057,2.787
3.139,2.457
1.971,3.732
4.243,2.102
2.542,-3.269
-3.363,-2.652
0.527,-1.416
-4.543,-2.921
1.244,-1.137
-1.586,3.163
1.831,-4.410
4.912,-0.067
-4.367,-4.592
-1.874,1.332
-1.948,-2.864
-2.073,0.168
-0.597,3.998
-2.552,1.208
2.049,3.624
1.097,0.950
0.354,-2.919
-4.512,2.670
-2.325,-3.589
-0.217,-0.228
3.663,-0.819
-0.138,-2.536
-0.978,1.803
-1.545,-0.351
0.720,0.953
-4.311,-3.507
-3.230,-2.686
0.531,0.134
3.568,-3.724
-4.325,-0.986
-1.971,-1.566
-0.450,4.145
-4.282,-4.264
-3.156,4.013
2.723,1.588
-0.090,-2.850
-4.273,1.684
-3.445,4.012
0.868,-1.424
4.353,-2.194
-4.236,3.855
-0.910,1.119
-3.020,0.930
-2.961,-0.386
3.226,3.666
3.508,-4.616
-1.740,4.411
-0.183,3.948
-3.782,-2.858
2.079,-4.130
-3.205,1.647
-0.769,-4.460
3.044,-2.138
-1.634,1.881
-0.298,0.794
4.285,3.483
-1.156,-0.022
2.492,0.183
-1.119,3.232
-4.844,-2.878
-4.978,4.677
0.367,-2.409
3.079,-3.075
-3.740,-4.858
-0.661,0.081
-4.907,-3.396
-3.415,-1.611
1.627,2.209
-2.551,4.139
4.430,0.292
1.744,-1.080
-2.363,2.443
-1.659,-2.462
-1.691,4.128
1.047,-2.599
3.166,-3.552
1.636,-0.737
-3.827,2.444
0.020,0.682
-4.997,-4.918
-3.737,3.090
0.649,0.866
2.433,-1.326
-4.737,-0.774
2.813,-2.066
-2.050,0.161
-4.616,-2.944
0.048,2.546
-4.776,-4.440
4.420,4.878
-0.840,2.936
0.647,4.712
-3.044,2.768
2.478,-3.679
-4.298,-1.502
2.671,-1.085
-4.562,-2.150
-1.873,3.333
1.617,-0.277
4.555,-0.462
-3.117,0.151
-2.111,0.108
1.891,0.723
-3.451,-0.580
4.855,-2.259
-0.085,-1.579
-2.184,-0.544
1.129,-1.015
3.575,-2.978
3.306,2.822
-3.119,3.092
-0.154,1.397
-4.562,-0.122
1.577,-4.815
-0.602,3.583
-1.699,3.268
-0.723,3.191
-4.915,2.802
-4.117,-2.941
1.123,3.781
-2.886,2.610
4.536,4.317
-0.053,-3.019
0.853,-2.684
-4.161,-2.563
-2.733,1.329
-3.807,-1.206
1.448,-3.210
-2.724,-3.091
-2.931,4.549
-4.640,1.237
-2.568,0.189
3.738,4.858
-3.203,-4.868
3.119,3.186
1.998,-3.890
-0.095,2.019
-4.972,3.413
4.480,-2.716
4.444,-2.716
4.499,-3.602
-0.426,3.145
0.078,-3.023
-2.316,-1.534
-0.272,3.921
0.991,4.872
0.382,2.037
-4.548,-1.625
0.450,-2.182
-4.079,2.444
2.104,3.920
0.412,-0.945
4.295,-3.421
4.155,4.259
4.491,-4.373
4.887,-2.254
2.664,3.001
-1.604,-2.352
0.253,-1.476
3.496,-2.587
-2.883,-2.184
3.546,-4.394
-2.794,-0.426
-2.542,2.363
4.223,1.991
-3.084,4.888
0.666,-4.268
3.328,3.167
4.236,-1.139
0.756,-0.614
-3.978,2.818
3.929,2.398
2.336,0.437
3.391,-2.051
-2.740,2.229
-1.240,-4.509
4.077,2.507
-2.228,4.238
-2.132,-1.199
-3.912,-0.109
-3.136,1.828
4.324,-2.462
0.839,-2.493
-1.203,-0.145
-0.055,-2.407
-3.776,3.644
-4.497,3.518
-1.607,-1.299
0.689,2.455
-1.242,4.244
-2.509,1.215
4.506,1.469
-2.821,4.389
1.887,-4.759
-1.414,4.393
-1.468,-0.047
-1.390,2.635
-1.288,3.254
-4.043,-3.033
-2.717,-4.551
-4.173,2.388
1.813,-4.864
-2.955,0.152
2.567,1.382
-4.365,-4.237
-0.412,-3.600
-1.689,3.924
-0.423,2.411
-4.720,1.066
-3.877,-3.898
-2.349,-1.933
1.111,-4.781
0.530,4.019
-3.083,2.434
-4.593,-3.171
3.790,-2.079
-2.060,0.674
4.446,2.492
4.568,3.361
2.962,4.505
-2.107,0.086
2.167,1.591
0.011,-2.917
0.134,-1.996
4.654,-2.936
2.197,2.161
-4.261,-2.489
-2.927,-0.223
-1.956,1.704
0.212,1.792
4.727,-0.468
-0.114,3.895
-3.015,2.930
2.176,-3.303
0.191,-0.150
1.595,1.877
-1.974,4.364
-3.015,3.882
2.481,-3.519
1.844,1.545
4.885,2.905
-4.797,1.731
-4.339,2.803
-0.165,1.108
-4.225,-0.769
-3.414,4.997
4.054,0.128
2.853,-0.703
-1.494,2.653
1.752,-0.662
0.432,3.657
1.560,4.047
4.237,-3.021
4.381,-4.165
3.605,-4.436
-2.984,-0.125
1.182,3.079
4.186,-0.106
-3.937,-4.590
2.839,0.716
-4.797,-0.106
0.854,3.823
-0.928,-3.459
3.386,-1.721
4.937,2.745
4.775,0.521
-2.330,4.585
2.769,-3.657
3.470,-4.147
1.217,-1.753
-2.991,-0.681
2.665,4.882
1.979,-0.568
-1.657,0.658
4.392,-4.331
-4.071,3.582
-3.924,-3.121
-2.326,-3.327
1.056,4.004
-4.303,1.620
0.294,-4.318
-0.023,-0.451
-0.673,1.116
2.471,3.424
-4.642,4.373
-3.125,3.581
-2.162,0.357
4.596,2.054
4.120,-2.534
4.856,3.893
-3.771,-0.040
-4.710,-4.274
3.515,-4.477
0.056,-4.060
4.629,-2.944
0.374,-1.683
3.473,3.810
4.322,1.274
2.412,4.317
4.949,-4.355
-3.740,-3.829
4.355,-3.009
-1.740,-1.565
-1.559,1.561
-4.233,-2.669
1.433,-3.688
-2.471,1.327
3.646,-1.517
-2.187,1.387
-0.982,-3.094
3.872,0.505
-3.992,-1.975
2.428,-2.813
-1.866,1.597
2.091,1.383
0.957,3.346
-2.966,-2.954
-3.666,-4.034
-3.588,0.065
-3.699,2.752
-0.660,-3.564
-4.554,-3.726
2.812,2.103
-4.586,4.408
4.781,1.552
-4.176,0.821
4.881,-4.836
-1.611,2.162
3.639,1.836
4.475,0.633
-2.530,2.837
3.032,4.953
-2.343,-2.431
-3.845,-0.937
4.671,-0.298
-0.572,4.574
0.432,-1.119
-2.243,1.093
-4.051,1.411
-2.639,2.267
0.614,-3.137
-3.033,1.800
-1.027,-0.683
-4.561,4.376
4.249,0.751
4.794,4.742
1.164,-2.283
2.417,4.037
0.773,-4.212
1.529,0.149
3.001,4.782
-3.768,4.019
0.763,-1.611
0.765,2.474
3.196,-0.386
4.787,0.541
-1.838,3.540
3.346,-1.375
-2.375,1.932
-2.816,2.868
-2.342,-2.578
1.605,-3.136
2.185,-0.826
-4.687,-2.603
1.825,-4.436
2.318,2.492
0.584,1.735
2.802,-3.636
-3.615,4.437
1.865,-2.199
1.561,4.702
-1.894,1.835
-4.783,-2.945
4.756,0.261
2.735,3.773
-1.342,0.152
-4.856,-1.494
-4.608,-2.107
-3.689,-3.279
-2.674,0.576
1.194,-0.252
0.105,3.110
1.250,0.425
4.160,4.131
3.214,-1.378
3.981,2.054
-3.141,-3.347
-1.473,-3.441
2.801,-1.555
2.306,4.883
2.157,-4.579
-3.506,2.589
1.355,1.389
-3.567,4.979
4.897,0.420
2.804,4.815
-2.503,4.755
-1.503,4.782
-4.963,-2.535
2.088,4.440
-0.386,-2.725
-4.847,2.587
-2.718,4.135
4.205,-3.691
-4.418,3.623
-0.540,-1.168
-1.835,2.412
0.097,4.324
0.200,-3.130
3.685,-0.687
-4.615,-3.648
3.222,-1.645
-3.931,-2.123
4.594,-3.574
4.062,0.181
-4.881,4.390
4.070,1.945
2.962,0.821
-3.118,3.381
-2.313,3.406
0.789,4.275
-1.074,4.011
0.922,-0.910
-2.257,0.656
-0.513,-3.277
1.243,4.165
-2.929,-0.543
2.097,-4.299
1.739,-0.155
2.739,0.529
-4.774,4.559
1.987,-2.826
2.518,-2.204
-0.638,0.910
4.163,4.036
3.265,-1.752
-3.517,-4.267
2.954,-4.805
0.100,2.570
-3.731,-2.274
-1.725,-0.908
2.737,-2.861
1.609,4.890
-0.030,0.003
-4.435,-3.855
-0.077,-1.356
-0.466,-4.472
1.856,1.589
3.076,1.572
4.186,2.112
-4.934,4.546
4.987,-2.311
0.916,-2.052
3.497,-4.728
3.564,-2.308
-2.423,0.495
0.916,-0.761
4.385,4.454
3.689,3.287
-3.745,-0.050
-3.023,3.607
0.128,2.377
-0.698,-2.546
0.646,-1.804
2.514,-4.247
3.494,0.589
4.985,1.109
-3.611,1.671
3.393,1.081
4.266,1.933
-2.074,-2.872
-3.494,-1.966
1.388,0.190
-4.028,-2.734
1.851,1.778
4.736,0.595
4.602,-4.296
-1.763,4.070
-1.837,4.836
-2.806,-2.630
0.250,-3.048
-4.153,-1.729
-1.031,-4.079
-0.971,-2.270
-0.511,4.661
-4.908,-4.033
-1.654,4.249
1.293,0.072
-1.790,4.607
4.080,-3.154
0.606,-3.661
2.217,2.697
0.301,4.790
-1.649,0.036
-1.607,2.539
1.622,-3.570
-2.213,-0.805
-4.151,2.682
-0.262,-4.301
-2.936,-3.525
2.815,3.834
-3.532,0.502
2.525,4.319
-2.302,4.244
-0.698,3.042
-2.004,-4.790
1.087,-1.186
0.636,-0.647
1.333,0.777
0.158,-4.672
3.902,-4.363
-2.244,1.921
-2.738,4.181
1.475,1.986
-0.458,-2.932
2.611,0.338
4.072,-3.154
-4.131,3.488
4.908,-0.852
-3.504,-1.626
4.603,0.046
-4.576,3.239
-4.973,0.820
-3.058,-4.113
2.977,3.603
1.780,-0.325
-3.678,-0.865
1.499,-0.900
-2.262,4.332
1.542,-0.956
-2.232,1.770
-1.540,-1.125
-3.033,3.101
1.716,1.866
-0.050,4.448
4.929,-2.210
-2.580,-1.413
-3.867,-4.781
3.595,3.761
2.185,-0.797
2.230,4.397
-2.779,3.326
-3.036,-3.090
-0.908,4.123
3.586,1.099
-2.484,-4.643
-0.362,-0.356
1.993,-0.298
2.078,-3.896
-3.484,3.280
1.286,0.429
2.128,-1.993
-0.539,4.787
4.839,0.950
2.897,-3.163
-0.826,1.470
0.027,2.329
3.213,-2.169
1.715,-3.942
0.068,3.352
2.766,-1.141
-4.851,0.503
-4.611,2.753
1.583,-2.184
3.213,-4.842
1.505,-3.491
0.151,-0.750
0.638,4.265
4.087,3.341
3.492,3.404
2.757,-4.629
1.527,-3.150
1.460,3.714
0.178,-3.372
3.787,0.485
-3.422,0.604
-4.924,-2.951
-1.956,2.769
0.474,2.601
-2.137,0.148
-0.719,-2.816
1.706,-0.126
-4.904,1.530
-3.614,-1.366
2.272,-2.124
1.422,0.485
1.926,-1.234
-3.333,-3.128
2.627,-2.105
-2.956,-1.583
-1.513,-1.674
-2.099,1.352
4.703,2.324
4.231,0.151
-1.331,0.023
4.729,2.176
1.928,-3.745
3.011,-3.928
-1.911,3.018
-2.327,4.326
1.973,0.659
0.334,1.853
-3.163,0.643
1.682,-2.243
2.898,-3.451
-3.452,1.824
4.184,1.582
-1.126,-2.406
1.271,0.459
4.477,-0.771
-0.421,0.056
-1.144,-0.257
3.832,2.068
1.843,-2.348
-0.718,-4.703
-4.553,1.042
-2.006,-2.758
-2.613,-0.959
2.895,-3.848
-0.175,-1.729
-0.477,-3.930
0.397,-0.784
-3.103,2.740
2.646,3.734
2.555,-3.001
-4.593,-4.290
2.865,-4.140
-3.457,1.273
-3.996,-0.896
1.619,-0.196
-3.262,-2.878
2.069,-4.234
3.524,0.277
-3.791,-2.116
-4.337,-4.460
4.323,-4.182
2.416,2.026
3.987,3.277
-2.940,-3.370
-0.286,2.380
4.230,-0.897
4.909,3.166
2.150,2.298
0.447,2.968
-3.188,-2.790
4.305,3.652
4.448,2.663
-4.985,1.470
1.222,-4.313
-0.494,-0.401
-0.184,2.267
0.071,0.754
-1.344,-2.071
2.646,4.588
0.083,1.758
-3.035,-3.426
1.983,-2.097
2.961,-0.580
-2.491,-1.662
-4.274,2.900
1.220,3.287
0.457,-1.985
3.017,2.339
-1.923,-0.487
-0.386,3.857
1.629,1.343
-0.254,-1.904
1.534,3.023
-3.837,-3.919
-0.521,0.367
1.084,4.099
1.353,4.028
-2.367,-0.697
1.359,4.091
0.489,-4.659
-0.070,4.275
1.548,2.901
2.703,-4.280
3.396,-2.704
1.567,4.949
1.817,4.778
-0.552,-4.629
4.279,4.514
-1.679,-3.199
-2.195,2.405
-2.498,2.831
0.546,3.529
-3.478,-3.655
4.252,4.699
-0.691,-3.103
1.648,-2.726
3.607,-3.663
-3.732,-4.860
-0.731,-0.392
-4.302,-4.358
-0.544,-2.729
0.120,-1.400
-3.205,-2.554
1.941,-0.118
4.347,-2.972
2.624,4.837
4.293,3.493
2.042,4.844
0.882,2.974
3.480,1.672
2.156,-3.926
0.257,-4.238
4.828,1.151
3.740,2.997
4.971,-2.689
2.440,-1.162
4.273,3.856
-2.474,-4.080
1.146,2.905
-4.118,4.703
-2.174,3.079
-4.523,-2.149
3.961,-2.810
-2.768,-0.834
0.701,-0.331
-0.718,-0.367
-2.259,4.519
3.220,4.115
-4.652,-0.679
-0.799,-2.719
1.558,1.339
-1.063,1.934
0.125,-2.666
2.026,4.122
0.409,0.119
-4.253,-4.021
-0.730,0.166
3.499,0.685
1.860,-4.335
1.870,4.976
1.090,-0.995
-4.529,-1.337
-3.980,-3.778
-0.847,-3.603
3.300,-2.185
-1.268,-4.644
-3.297,-1.110
0.775,2.611
4.565,-0.925
1.015,4.049
1.633,3.893
2.460,-0.805
0.739,-1.541
3.882,0.017
2.498,-2.020
0.955,0.368
1.385,3.008
0.701,2.648
-0.694,1.553
-0.734,2.774
4.012,2.589
3.824,-1.914
3.570,-2.622
2.797,-2.027
0.778,-4.257
3.797,-0.806
1.953,-0.157
-4.906,-1.782
-2.952,-4.776
-3.205,-3.162
2.059,-4.429
-4.838,-1.593
4.431,3.202
4.241,2.090
-1.469,1.587
4.697,-2.755
2.396,-2.626
3.728,1.031
-0.097,-4.269
-2.959,-2.779
-2.994,-0.882
4.920,2.221
-1.032,2.845
-4.137,1.324
4.313,-3.764
-2.061,3.428
-3.040,0.131
2.788,4.263
0.400,4.617
0.210,-2.446
1.566,-4.829
-1.928,-0.110
-0.369,4.374
-4.563,-0.549
3.358,4.202
-4.373,2.711
-2.957,-4.227
-3.892,1.190
-0.783,-0.742
-1.342,-4.321
-3.174,3.001
-1.120,-2.085
-1.402,-2.184
-3.360,3.372
2.660,-4.668
-0.337,-1.007
-1.231,-0.895
4.200,-3.321
0.880,-2.275
4.634,-1.118
2.290,4.707
-0.633,1.208
-2.390,2.465
-3.952,-4.735
-0.962,3.897
-3.320,2.441
-3.947,2.735
-0.773,-2.504
-4.297,-1.571
2.587,-1.840
2.246,1.285
2.979,-1.173
2.562,-0.942
2.284,2.394
-0.570,-3.677
2.161,4.301
-4.090,-1.983
-0.851,-0.997
-3.904,4.907
-2.032,-3.959
-1.586,-4.196
0.447,1.159
-1.990,3.037
0.783,-1.326
3.620,2.914
3.467,-0.007
-0.833,-4.680
-3.744,4.874
0.851,3.321
-0.874,-1.850
2.906,-0.034
-4.703,1.021
2.155,-2.224
2.848,4.420
-4.943,-1.766
-4.676,-3.628
-1.985,-0.921
2.458,3.538
-2.956,-2.661
2.676,4.664
2.071,-4.053
-4.834,1.362
4.583,-2.082
4.365,-4.656
2.099,-0.327
2.401,1.018
-3.329,1.288
2.657,3.920
1.356,-4.063
0.743,4.481
-4.040,-2.730
-4.146,1.850
4.353,-3.714
4.863,0.178
-2.212,0.678
-3.704,3.080
-3.160,-1.577
-3.837,4.581
0.872,-2.123
-2.852,1.282
2.806,4.012
2.560,3.122
-3.896,0.400
1.985,1.056
4.725,-1.867
0.651,2.626
-0.458,-3.259
-1.156,-0.177
1.027,2.494
2.770,-1.409
-1.982,0.900
2.582,1.013
-2.180,-0.261
-1.544,-0.769
0.154,-2.153
-2.447,3.073
-3.848,-2.539
1.162,-2.984
2.156,-2.050
-0.807,1.516
4.973,3.179
-3.798,-2.804
-2.003,-3.546
-4.351,-1.439
2.570,-0.225
2.933,-4.117
-3.990,-4.861
1.226,0.505
-3.811,2.837
-2.410,1.634
0.666,-1.400
0.468,-2.419
0.840,-1.606
-1.845,-4.691
-4.722,2.287
-4.201,3.625
-2.539,-3.573
1.524,-2.281
3.421,1.878
0.701,-2.555
1.569,-0.919
-4.994,-4.270
-4.563,0.133
0.495,3.428
1.461,-4.531
-2.950,-3.345
4.016,-3.291
1.523,-4.697
-4.935,0.319
-1.432,-3.056
-0.418,-2.912
-4.041,-0.788
-1.538,0.192
0.964,-3.782
-0.122,0.434
-0.670,2.742
4.816,2.493
-4.490,2.102
-0.847,4.663
3.568,-1.312
0.351,3.140
2.699,1.337
4.309,0.148
3.874,1.595
2.115,-1.512
3.252,-0.997
2.539,-4.576
0.481,3.543
3.050,-0.530
3.551,1.096
4.105,3.434
-2.776,-4.698
3.481,1.355
0.916,-3.843
-3.915,3.698
-2.655,-2.758
2.632,-2.789
0.478,-3.375
-2.631,3.605
2.339,2.279
2.929,-2.787
1.179,-4.826
2.833,3.976
1.694,4.756
0.199,2.649
-0.137,3.546
4.903,-3.851
4.642,-1.770
-1.920,-4.533
-4.103,-2.545
0.673,-1.866
-1.702,-1.625
-0.335,2.373
1.028,1.125
4.727,-1.016
-4.798,-1.273
0.439,4.860
1.247,-3.280
-0.986,1.127
-2.877,2.267
-3.307,-0.985
1.485,3.497
-4.357,3.862
-4.299,2.410
3.285,3.832
3.599,4.170
-2.126,-3.920
-2.349,-3.223
4.733,-1.613
3.964,3.593
-1.205,-4.516
-2.227,-4.720
1.293,-3.718
0.016,4.491
3.864,-3.238
-3.000,0.307
-1.867,-3.597
2.354,0.504
-3.567,-1.736
-0.852,-2.105
3.229,-1.520
3.415,0.512
-1.398,1.696
-1.263,-3.800
-1.144,4.176
4.986,-0.252
2.134,-2.569
-3.325,-4.545
0.662,-0.324
